127.0.0.1 - - [13/Jan/2025:18:04:03 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:04:19 +0530] "GET /login-security/welcome HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:04:19 +0530] "GET /login-security/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:04:19 +0530] "GET /login-security HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:04:19 +0530] "GET /login-security/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:04:19 +0530] "GET /login-security/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:04:25 +0530] "POST /login-security/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:04:25 +0530] "GET /login-security/welcome HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:08:15 +0530] "GET /login-security/welcome HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:08:15 +0530] "GET /login-security/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:08:29 +0530] "POST /login-security/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:08:29 +0530] "GET /login-security/welcome HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:09:46 +0530] "GET /login-security/welcome HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:09:46 +0530] "GET /login-security/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:09:52 +0530] "GET /login-securit HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:09:56 +0530] "GET /login-security/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:09:56 +0530] "GET /login-security/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:10:04 +0530] "POST /login-security/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:18:10:04 +0530] "GET /login-security/welcome HTTP/1.1" 200 7
